   i     radius            mass              density           energy            temp              abar              zbar
  167  1.4810521449E+08  9.9591408968E-03  1.4021625331E+06  5.0277189758E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  168  1.5033157310E+08  1.0397636472E-02  1.3982223630E+06  5.0190521090E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  169  1.5257929166E+08  1.0852414853E-02  1.3941970679E+06  5.0101867930E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  170  1.5484850912E+08  1.1323959814E-02  1.3900855549E+06  5.0011198528E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  171  1.5713936990E+08  1.1812765822E-02  1.3858867304E+06  4.9918480779E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  172  1.5945202044E+08  1.2319337404E-02  1.3815995074E+06  4.9823682363E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  173  1.6178660980E+08  1.2844189306E-02  1.3772228046E+06  4.9726770726E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  174  1.6414329055E+08  1.3387846729E-02  1.3727555462E+06  4.9627713057E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  175  1.6652222142E+08  1.3950846016E-02  1.3681966569E+06  4.9526476175E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  176  1.6892356858E+08  1.4533735081E-02  1.3635450609E+06  4.9423026471E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  177  1.7134749458E+08  1.5137070781E-02  1.3587997031E+06  4.9317330398E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  178  1.7379417059E+08  1.5761421865E-02  1.3539595272E+06  4.9209353944E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  179  1.7626377177E+08  1.6407367937E-02  1.3490234852E+06  4.9099062841E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  180  1.7875647995E+08  1.7075500183E-02  1.3439905325E+06  4.8986422450E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  181  1.8127248261E+08  1.7766421177E-02  1.3388596314E+06  4.8871397806E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  182  1.8381197229E+08  1.8480744767E-02  1.3336297528E+06  4.8753953653E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  183  1.8637514061E+08  1.9219094346E-02  1.3282998897E+06  4.8634054733E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  184  1.8896219573E+08  1.9982107857E-02  1.3228690218E+06  4.8511664976E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  185  1.9157334438E+08  2.0770432685E-02  1.3173361544E+06  4.8386748346E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  186  1.9420880578E+08  2.1584729768E-02  1.3117002892E+06  4.8259268185E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  187  1.9686880178E+08  2.2425670648E-02  1.3059604473E+06  4.8129187700E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  188  1.9955356325E+08  2.3293939435E-02  1.3001156559E+06  4.7996469652E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  189  2.0226332254E+08  2.4190230347E-02  1.2941649659E+06  4.7861076742E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
  190  2.0499832960E+08  2.5115252998E-02  1.2881074184E+06  4.7722970821E+16  1.0000000000E+07  1.3714285714E+01  6.8571428571E+00
